TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Diagnóstico
Período:2001-2024
"Município de notificação";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"351900 HERCULANDIA";5;-;2;2;-;1;-;-;1;1;-;-;-;-;1;2;-;-;-;2;-;-;-;1;18
"351905 HOLAMBRA";3;2;-;-;-;1;-;2;-;-;1;3;2;-;-;1;1;1;2;-;-;1;2;-;22
"351907 HORTOLANDIA";34;36;39;34;36;57;56;73;88;64;60;83;104;85;125;131;133;138;140;105;112;110;100;130;2073
"351910 IACANGA";3;4;1;-;-;-;-;1;-;-;2;2;-;1;5;-;3;1;1;-;1;-;1;2;28
"351920 IACRI";-;-;1;-;-;1;1;1;-;-;-;1;-;1;-;1;-;-;-;2;1;-;-;-;10
"351925 IARAS";1;2;1;-;-;10;15;19;5;5;5;5;8;21;7;7;4;15;9;11;10;9;5;8;182
"351930 IBATE";3;7;3;4;6;3;-;3;4;2;5;1;4;6;6;1;7;9;1;2;5;9;5;3;99
"351940 IBIRA";1;1;1;1;1;-;-;3;3;2;-;1;1;2;-;-;4;-;5;1;-;1;3;4;35
"351950 IBIRAREMA";2;1;-;-;2;-;1;1;-;1;2;1;6;2;-;1;4;1;3;-;3;3;2;6;42
"351960 IBITINGA";15;23;16;15;13;28;21;16;13;27;20;13;15;12;15;21;17;16;23;18;14;21;21;16;429
"351970 IBIUNA";18;8;18;13;12;5;14;9;8;15;15;12;11;6;13;10;20;19;24;19;23;20;20;30;362
"351980 ICEM";1;2;2;-;4;-;1;-;2;-;-;1;-;-;-;1;7;13;4;4;8;6;5;6;67
"351990 IEPE";3;1;1;1;1;-;1;-;1;5;-;1;-;2;4;3;4;1;2;7;1;2;8;1;50
"352000 IGARACU DO TIETE";15;10;7;6;6;9;8;9;4;5;12;4;3;7;9;7;12;12;9;3;15;7;12;16;207
"352010 IGARAPAVA";-;-;-;-;-;4;7;2;1;4;7;6;7;15;7;2;4;9;4;4;4;7;5;10;109
"352020 IGARATA";-;-;-;-;-;-;-;-;4;1;1;1;-;1;3;1;1;-;2;2;3;2;4;1;27
"352030 IGUAPE";20;8;13;14;14;24;6;22;15;18;11;12;17;17;28;14;20;21;29;20;19;18;35;33;448
"352040 ILHABELA";12;15;7;9;10;8;15;8;13;14;12;10;11;9;9;6;8;9;14;10;13;15;22;27;286
"352042 ILHA COMPRIDA";4;3;6;5;6;4;4;8;1;3;5;6;8;3;3;4;4;3;5;4;10;8;10;20;137
"352044 ILHA SOLTEIRA";6;5;9;3;4;3;2;3;8;1;1;3;1;-;2;1;4;5;5;2;2;6;7;6;89
"352050 INDAIATUBA";69;50;42;40;37;40;34;35;43;35;58;38;51;28;36;37;50;58;62;46;56;58;81;85;1169
"352060 INDIANA";-;1;-;-;-;2;1;-;-;-;-;-;-;-;-;1;3;1;1;-;2;-;1;-;13
"352070 INDIAPORA";1;-;2;3;1;1;1;1;1;-;-;-;-;1;2;1;1;-;-;-;1;2;2;-;21
"352080 INUBIA PAULISTA";1;1;2;-;2;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;10
"352090 IPAUSSU";6;4;3;3;1;4;4;5;2;3;2;1;1;2;3;1;8;3;3;4;2;-;3;4;72
"352100 IPERO";15;6;12;9;3;13;7;21;30;21;36;34;19;37;49;46;55;26;25;16;25;33;47;35;620
"352110 IPEUNA";-;-;-;-;2;-;-;1;-;1;-;-;-;1;-;-;1;3;1;1;4;2;7;2;26
"352115 IPIGUA";-;-;-;-;1;-;-;-;-;-;-;-;1;2;1;-;1;1;2;2;1;2;3;2;19
"352120 IPORANGA";-;-;-;-;2;-;2;-;-;-;2;-;1;-;-;-;-;1;1;1;2;2;4;6;24
"352130 IPUA";-;-;-;-;-;-;-;1;1;4;-;-;2;2;3;2;5;2;4;7;3;2;8;3;49
"352140 IRACEMAPOLIS";6;3;-;1;2;7;2;3;4;5;3;6;-;2;5;2;7;2;4;3;1;2;5;6;81
"352150 IRAPUA";-;-;2;1;-;-;3;1;-;1;-;-;-;-;2;1;1;-;-;3;1;-;2;3;21
"352160 IRAPURU";-;-;1;1;-;3;13;11;12;17;15;23;44;38;40;26;36;41;21;26;19;17;13;18;435
"352170 ITABERA";2;4;3;11;3;1;2;-;3;-;-;3;4;2;2;-;-;-;4;2;2;4;3;5;60
"352180 ITAI";4;9;3;-;4;8;7;14;8;9;5;4;4;9;8;3;9;10;8;14;19;20;28;15;222
"352190 ITAJOBI";-;-;1;1;1;-;-;3;2;-;1;-;-;1;1;-;2;4;1;1;1;1;2;-;23
"352200 ITAJU";1;1;1;1;-;-;2;2;-;1;-;1;-;-;-;1;-;1;1;-;1;-;-;-;14
"352210 ITANHAEM";60;54;53;62;68;45;45;64;59;78;93;119;87;122;116;96;113;103;116;68;104;122;132;118;2097
"352215 ITAOCA";4;-;1;-;-;1;-;1;-;1;1;-;1;-;-;-;1;-;-;-;-;-;-;1;12
"352220 ITAPECERICA DA SERRA";77;45;47;63;84;70;55;65;81;60;69;67;86;72;100;100;98;110;65;99;90;100;91;103;1897
"352230 ITAPETININGA";45;45;34;42;37;63;60;68;60;62;38;48;56;64;65;83;87;85;73;57;63;62;80;88;1465
"352240 ITAPEVA";33;33;29;34;24;32;16;19;12;32;11;23;20;26;29;30;41;31;29;19;23;23;21;32;622
"352250 ITAPEVI";101;121;107;108;120;119;92;77;106;119;112;104;103;134;112;99;131;104;149;136;132;190;168;158;2902
"352260 ITAPIRA";30;31;25;21;32;38;17;16;20;21;31;23;22;13;17;23;12;20;16;19;16;18;22;23;526
"352265 ITAPIRAPUA PAULISTA";-;1;2;-;1;-;-;1;1;1;-;-;-;1;-;-;1;-;1;-;1;2;-;-;13
"352270 ITAPOLIS";10;9;10;8;3;7;3;4;4;5;3;4;2;2;2;7;4;6;5;7;14;8;17;6;150
"352280 ITAPORANGA";3;4;2;6;3;3;1;3;3;6;2;5;3;5;-;3;4;9;7;3;4;5;6;3;93
"352290 ITAPUI";2;1;1;1;-;-;-;2;3;6;1;8;1;2;2;1;2;1;7;2;3;-;7;5;58
"352300 ITAPURA";-;-;2;3;3;1;3;-;1;1;1;1;-;1;1;2;-;2;1;-;1;-;1;-;25
"352310 ITAQUAQUECETUBA";140;124;115;121;125;110;129;117;132;127;108;117;111;97;97;128;135;122;176;125;159;149;152;147;3063
"352320 ITARARE";9;18;13;9;12;9;11;13;8;9;8;16;5;15;4;8;12;8;15;14;14;14;10;8;262
"352330 ITARIRI";9;11;7;3;8;2;4;10;4;7;6;5;13;7;3;9;12;7;9;7;8;11;6;12;180
"352340 ITATIBA";26;28;24;24;29;27;24;24;27;22;21;22;23;14;25;29;37;32;18;18;22;32;20;30;598
"352350 ITATINGA";1;-;-;4;2;6;3;2;1;-;2;2;-;2;2;1;2;8;6;8;8;9;21;20;110
"352360 ITIRAPINA";1;3;2;1;5;23;23;28;25;37;33;54;48;33;41;32;23;34;23;18;21;38;34;27;607
"352370 ITIRAPUA";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;5;1;8
"352380 ITOBI";1;-;-;2;-;1;-;-;-;-;1;-;-;-;1;3;-;1;-;-;-;-;-;2;12
"352390 ITU";58;47;35;46;52;52;43;43;41;50;57;38;47;48;54;42;44;62;61;39;50;61;72;55;1197
"352400 ITUPEVA";5;4;6;12;-;4;11;17;8;5;11;6;10;4;4;7;13;7;10;10;6;13;12;27;212
"352410 ITUVERAVA";-;-;-;-;2;6;11;6;4;8;16;12;13;7;6;11;10;6;10;6;13;13;9;6;175
"352420 JABORANDI";1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;4;-;-;1;1;1;1;1;12
"352430 JABOTICABAL";24;36;24;22;15;16;9;15;16;9;10;11;11;4;4;3;19;7;15;20;8;21;31;25;375
"352440 JACAREI";88;62;82;81;71;66;62;100;63;66;78;57;68;78;72;70;56;60;55;41;63;78;69;73;1659
"352450 JACI";1;-;-;-;-;-;-;3;-;4;3;3;-;3;2;2;2;1;3;-;4;3;1;2;37
"352460 JACUPIRANGA";5;6;5;4;3;3;1;2;4;2;6;2;5;4;5;4;5;2;8;3;3;1;7;6;96
"352470 JAGUARIUNA";12;13;14;10;11;13;13;10;13;15;7;10;4;8;7;10;13;14;18;7;5;15;19;18;279
"352480 JALES";10;16;16;7;8;10;8;7;14;5;9;8;12;19;11;7;10;5;11;12;7;12;5;6;235
"352490 JAMBEIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"352500 JANDIRA";-;-;-;-;21;34;31;33;32;30;39;30;35;24;40;36;40;41;44;40;34;47;45;57;733
"352510 JARDINOPOLIS";2;5;5;3;5;6;4;3;3;3;4;6;7;10;12;28;37;21;33;28;21;32;44;37;359
"352520 JARINU";5;9;2;4;3;6;5;4;4;6;3;2;3;5;6;13;15;9;13;13;9;7;9;9;164
"352530 JAU";28;23;24;32;10;22;39;43;28;25;40;28;32;48;43;31;36;37;27;34;30;40;31;49;780
"352540 JERIQUARA";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;1;4
"352550 JOANOPOLIS";3;1;-;-;-;4;-;1;1;2;-;-;6;3;1;-;1;2;3;-;-;1;-;-;29
"352560 JOAO RAMALHO";-;-;1;-;1;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;1;-;-;6
"352570 JOSE BONIFACIO";2;7;5;6;3;4;3;4;3;2;1;1;7;5;3;3;2;5;10;5;9;18;9;12;129
"352580 JULIO MESQUITA";1;1;1;-;1;-;1;1;1;1;-;-;-;-;1;-;1;-;2;2;1;2;-;2;19
"352585 JUMIRIM";-;-;-;-;-;-;-;1;-;3;-;1;-;1;-;1;-;-;-;-;-;-;-;-;7
"352590 JUNDIAI";179;170;159;156;135;149;168;152;139;141;111;123;138;129;126;127;143;146;113;90;96;163;183;134;3370
"352600 JUNQUEIROPOLIS";5;3;7;5;7;11;16;21;19;18;31;34;30;22;34;56;69;45;22;28;28;19;37;16;583
"352610 JUQUIA";13;8;10;7;5;3;7;6;5;3;11;6;8;11;7;7;6;3;19;11;8;11;10;18;203
"352620 JUQUITIBA";17;6;11;11;8;8;8;9;8;8;6;6;9;12;12;5;14;12;12;17;8;13;14;21;255
"352630 LAGOINHA";5;2;2;1;1;-;1;2;-;-;-;1;-;1;-;-;2;1;3;2;2;2;-;1;29
"352640 LARANJAL PAULISTA";7;5;8;7;13;7;3;8;5;8;17;13;9;5;8;6;21;9;16;10;13;10;16;15;239
"352650 LAVINIA";3;1;3;4;1;39;52;41;36;56;62;56;67;95;74;89;137;89;60;68;51;40;58;58;1240
"352660 LAVRINHAS";-;-;2;2;1;-;-;-;-;1;2;-;1;-;2;-;1;-;2;4;1;1;-;-;20
"352670 LEME";30;41;34;45;44;37;24;28;32;31;25;23;29;29;22;25;27;35;25;36;20;28;32;42;744
"352680 LENCOIS PAULISTA";19;17;14;15;9;13;14;21;20;17;15;16;15;28;12;18;32;17;18;18;7;13;18;31;417
"352690 LIMEIRA";84;81;98;90;106;89;68;94;74;89;73;89;76;65;69;84;81;81;104;83;82;113;113;122;2108
"352700 LINDOIA";-;1;-;1;-;2;-;1;1;-;1;1;-;1;-;1;-;-;1;-;1;3;1;2;18
"352710 LINS";25;29;24;25;20;11;26;19;19;37;35;12;24;16;30;21;18;31;36;36;21;20;35;32;602
"352720 LORENA";31;33;19;15;22;20;23;30;32;17;21;41;39;32;37;39;39;28;30;37;30;28;34;29;706
"352725 LOURDES";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"352730 LOUVEIRA";7;4;5;7;10;4;9;5;6;4;3;2;3;6;6;8;6;5;4;2;6;6;12;7;137
"352740 LUCELIA";1;2;5;7;4;12;31;12;13;20;37;21;2;17;32;63;52;23;12;10;11;8;13;13;421
"352750 LUCIANOPOLIS";-;1;-;1;1;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;1;-;-;8
"352760 LUIS ANTONIO";2;-;-;1;-;2;-;2;1;2;-;1;1;2;-;1;-;-;-;-;-;1;1;-;17
"352770 LUIZIANIA";3;1;1;1;-;-;-;1;1;1;-;1;1;-;1;-;-;-;-;1;1;-;-;-;14
"352780 LUPERCIO";1;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;2;-;-;-;-;-;1;3;11
"352790 LUTECIA";1;-;-;-;-;1;-;-;1;-;1;-;2;-;-;1;-;-;1;2;1;-;-;1;12
"352800 MACATUBA";4;2;4;3;3;4;2;3;4;5;5;-;2;2;2;1;4;2;4;4;2;3;-;5;70
"352810 MACAUBAL";1;-;1;-;-;1;1;2;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;1;11
"352820 MACEDONIA";-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;1;8
"352830 MAGDA";-;2;3;2;2;-;1;2;-;3;-;1;-;1;-;2;3;-;-;2;-;-;1;-;25
"352840 MAIRINQUE";15;8;8;7;9;13;13;16;9;13;9;8;12;14;12;13;27;20;14;22;16;21;21;44;364
"352850 MAIRIPORA";34;14;15;11;11;15;13;24;4;19;19;13;17;26;17;8;26;21;25;18;31;25;24;31;461
"352860 MANDURI";4;3;3;2;-;2;4;1;1;-;-;-;1;1;-;2;1;-;1;1;-;2;2;6;37
"352870 MARABA PAULISTA";-;2;-;-;-;4;15;12;13;12;23;17;19;23;34;33;35;27;13;12;15;13;9;11;342
"352880 MARACAI";2;3;1;-;3;-;1;5;2;4;3;4;2;1;3;1;1;1;-;1;1;2;1;2;44
"352885 MARAPOAMA";1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;3
"352890 MARIAPOLIS";1;-;-;-;-;-;-;2;-;1;-;-;-;1;-;-;1;1;-;1;1;1;-;-;10
"352900 MARILIA";46;43;38;28;67;71;62;77;89;80;109;71;96;80;89;132;82;107;109;92;87;77;78;129;1939
"352920 MARTINOPOLIS";3;2;1;5;4;12;18;24;32;24;24;47;51;49;52;58;70;75;37;22;22;23;10;2;667
"352930 MATAO";17;16;20;22;24;15;11;21;17;12;16;12;20;12;17;6;12;11;19;5;14;14;11;5;349
"352940 MAUA";140;130;143;126;122;120;105;122;126;130;158;194;175;203;166;178;182;188;170;162;157;176;219;219;3811
"352950 MENDONCA";1;-;1;1;-;-;-;-;2;1;1;2;-;-;1;-;1;1;-;2;1;1;2;2;20
"352960 MERIDIANO";1;1;1;1;-;-;-;-;-;-;-;-;1;-;1;1;1;-;1;1;-;1;-;-;11
"352965 MESOPOLIS";-;-;-;-;-;1;-;-;-;-;-;3;1;-;2;1;3;-;1;1;2;1;-;-;16
"352970 MIGUELOPOLIS";-;-;-;-;-;-;-;-;-;-;1;-;-;4;-;3;6;4;3;4;3;6;6;3;43
"352980 MINEIROS DO TIETE";2;4;2;2;3;1;-;-;-;1;1;2;3;1;3;-;5;-;1;1;2;6;3;1;44
"352990 MIRACATU";15;13;13;10;13;12;16;5;12;13;10;12;8;5;9;9;10;8;9;8;6;8;13;12;249
"353000 MIRA ESTRELA";-;1;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;1;1;-;-;2;-;-;8
"353010 MIRANDOPOLIS";16;6;4;9;3;70;65;60;52;92;61;104;75;77;68;83;94;87;83;69;53;53;67;61;1412
"353020 MIRANTE DO PARANAPANEMA";2;3;1;2;3;-;1;2;-;1;7;4;1;2;4;3;1;1;2;2;2;4;2;1;51
"353030 MIRASSOL";9;9;8;9;8;6;14;6;9;12;2;9;17;5;13;5;11;4;15;9;12;11;14;12;229
"353040 MIRASSOLANDIA";1;3;-;2;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;1;-;2;3;-;16
"353050 MOCOCA";18;20;15;17;19;17;19;19;11;14;17;12;16;20;13;11;13;9;15;12;17;24;18;24;390
"353060 MOGI DAS CRUZES";182;165;149;142;140;152;124;163;139;145;163;149;159;158;196;193;177;198;197;133;161;207;216;202;4010
"353070 MOGI GUACU";30;39;44;30;29;18;36;30;32;32;32;34;23;18;32;33;38;40;37;27;28;40;46;42;790
"353080 MOGI MIRIM";26;16;16;30;28;19;21;16;23;17;22;18;12;19;15;15;18;20;13;17;15;32;20;19;467
"353090 MOMBUCA";-;2;2;-;1;1;1;-;-;-;-;-;-;-;1;4;2;2;2;-;1;4;3;1;27
"353100 MONCOES";-;-;-;-;-;-;-;1;1;1;-;1;1;2;-;-;-;-;1;-;-;-;3;-;11
"353110 MONGAGUA";32;37;41;31;7;37;46;66;49;74;76;71;78;60;80;78;141;103;164;104;124;113;133;100;1845
"353120 MONTE ALEGRE DO SUL";-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;1;-;1;-;2;-;8
"353130 MONTE ALTO";15;9;8;6;10;10;13;4;11;8;9;12;13;9;6;9;11;10;20;18;18;15;9;11;264
"353140 MONTE APRAZIVEL";2;-;1;3;4;-;2;5;3;3;2;-;6;5;4;3;4;3;4;1;3;4;3;5;70
"353150 MONTE AZUL PAULISTA";3;2;3;1;1;2;-;2;4;4;-;2;2;2;3;3;2;1;3;5;3;9;6;2;65
"353160 MONTE CASTELO";2;1;-;-;-;1;-;1;1;-;-;1;-;1;1;-;1;1;-;-;-;-;2;1;14
"353170 MONTEIRO LOBATO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2;4
"353180 MONTE MOR";10;18;17;12;15;10;12;13;11;9;14;20;13;23;13;16;16;10;21;12;15;18;10;20;348
"353190 MORRO AGUDO";5;10;7;3;6;3;-;-;1;6;5;-;3;1;3;4;12;6;8;5;5;11;18;19;141
"353200 MORUNGABA";3;-;2;4;4;1;1;-;1;-;-;-;-;-;1;1;1;-;1;2;2;2;3;3;32
"353205 MOTUCA";-;-;-;1;-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;2;1;-;8
"353210 MURUTINGA DO SUL";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;4
"353215 NANTES";1;2;1;-;-;-;-;-;2;-;1;1;1;-;-;-;-;1;2;4;1;-;-;2;19
"353220 NARANDIBA";1;1;-;-;-;1;1;-;-;-;1;-;1;-;-;1;3;2;-;-;-;3;-;2;17
"353230 NATIVIDADE DA SERRA";-;-;-;-;1;1;1;-;1;1;1;2;-;1;1;1;-;-;-;1;1;4;2;1;20
"353240 NAZARE PAULISTA";2;1;-;-;3;-;-;-;4;7;2;2;5;2;1;2;3;9;3;-;3;3;5;9;66
"353250 NEVES PAULISTA";-;3;-;-;-;-;2;-;3;3;-;1;2;-;-;1;-;-;4;2;1;4;2;3;31
"353260 NHANDEARA";3;1;1;-;1;1;2;1;-;1;1;2;1;-;2;3;1;-;2;1;4;1;3;6;38
"353270 NIPOA";1;-;-;1;-;1;2;2;4;2;-;-;-;-;1;-;-;-;1;-;1;-;-;-;16
"353280 NOVA ALIANCA";-;4;-;-;-;1;-;-;-;-;2;1;2;-;-;-;-;-;-;1;2;-;2;1;16
"353282 NOVA CAMPINA";2;3;2;2;2;3;2;2;4;3;2;-;-;3;2;1;3;-;-;-;4;2;1;1;44
"353284 NOVA CANAA PAULISTA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;3
"353286 NOVA CASTILHO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353290 NOVA EUROPA";-;1;1;1;1;1;1;1;2;-;1;1;2;1;2;-;2;-;3;-;2;-;1;1;25
"353300 NOVA GRANADA";6;2;8;8;2;3;3;4;3;-;3;2;2;-;1;1;3;-;2;7;3;6;2;4;75
"353310 NOVA GUATAPORANGA";1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;6
"353320 NOVA INDEPENDENCIA";-;1;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;6;6;13;11;13;13;67
"353325 NOVAIS";-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;6
"353330 NOVA LUZITANIA";2;2;4;3;1;2;-;1;-;1;1;1;-;1;-;-;1;-;-;-;1;-;1;-;22
"353340 NOVA ODESSA";5;6;12;7;-;10;11;13;8;8;7;10;12;10;10;9;10;9;16;13;16;17;13;16;248
"353350 NOVO HORIZONTE";3;6;6;6;3;4;8;5;3;11;4;3;1;3;4;2;7;2;6;7;6;6;9;5;120
"353360 NUPORANGA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;3
"353370 OCAUCU";-;-;-;-;5;1;2;2;-;-;-;-;-;-;1;-;-;-;-;1;2;2;-;4;20
"353380 OLEO";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;1;-;-;-;5
"353390 OLIMPIA";6;13;20;9;10;23;16;10;15;10;8;10;15;14;7;12;11;10;15;16;7;9;9;9;284
"353400 ONDA VERDE";-;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;1;1;1;2;1;2;1;2;15
"353410 ORIENTE";-;2;3;1;2;-;2;1;2;-;-;-;-;1;2;1;1;-;1;1;2;1;3;1;27
"353420 ORINDIUVA";1;1;3;-;2;-;1;-;-;1;-;-;-;-;-;-;2;-;-;1;1;5;-;2;20
"353430 ORLANDIA";8;4;4;5;6;2;6;3;3;3;5;8;8;2;5;4;4;10;7;6;12;9;8;13;145
"353440 OSASCO";440;379;342;313;294;317;263;307;321;276;290;266;336;296;264;305;372;357;404;340;342;376;350;336;7886
"353450 OSCAR BRESSANE";-;-;-;-;-;-;-;-;-;-;2;1;1;-;1;1;-;-;2;-;-;-;-;-;8
"353460 OSVALDO CRUZ";6;4;7;4;-;8;10;10;15;21;15;22;13;18;28;36;22;24;21;14;24;19;9;15;365
"353470 OURINHOS";37;27;36;34;19;39;26;25;33;35;28;23;21;35;17;37;36;40;42;31;33;33;22;47;756
"353475 OUROESTE";1;2;2;4;4;2;2;-;1;5;2;-;2;3;2;1;4;5;1;1;2;1;3;4;54
"353480 OURO VERDE";1;2;5;3;1;1;3;2;-;2;2;-;-;3;3;2;1;1;2;-;1;-;1;-;36
"353490 PACAEMBU";2;2;2;-;4;19;35;34;33;35;47;59;49;37;69;65;114;87;52;62;51;58;47;62;1025
"353500 PALESTINA";-;2;4;3;1;2;3;1;2;2;4;3;1;-;-;1;1;2;1;2;1;1;2;1;40
"353510 PALMARES PAULISTA";2;3;8;3;2;-;1;-;4;-;1;1;-;3;1;-;-;-;-;1;1;-;2;-;33
"353520 PALMEIRA D'OESTE";-;2;1;-;1;2;-;1;1;-;-;-;-;4;2;-;2;1;1;-;1;2;1;1;23
"353530 PALMITAL";9;8;3;9;2;12;8;1;1;1;2;2;5;-;-;3;7;7;9;3;6;5;5;14;122
"353540 PANORAMA";9;4;4;2;4;3;3;2;7;2;2;4;3;4;3;8;1;6;5;2;3;4;5;4;94
"353550 PARAGUACU PAULISTA";8;14;2;11;11;21;11;36;16;26;19;12;22;28;18;27;24;12;14;9;9;11;8;17;386
"353560 PARAIBUNA";3;4;6;3;2;3;5;3;4;2;1;-;1;1;-;4;1;3;4;-;3;4;8;3;68
"353570 PARAISO";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;5
"353580 PARANAPANEMA";2;3;4;3;5;3;4;1;3;-;5;3;-;-;1;3;3;2;1;2;4;1;3;3;59
"353590 PARANAPUA";-;1;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;1;2;-;-;1;2;-;11
"353600 PARAPUA";6;4;6;5;3;1;3;1;5;-;-;1;1;-;2;1;1;-;-;2;-;3;4;3;52
"353610 PARDINHO";-;-;1;-;1;1;-;-;-;-;1;-;2;-;-;-;2;-;2;-;1;3;1;2;17
"353620 PARIQUERA-ACU";22;12;25;21;27;37;26;29;23;15;26;11;9;12;19;20;10;32;6;13;14;10;15;15;449
"353625 PARISI";-;1;1;2;-;1;1;1;-;1;-;-;-;-;-;1;2;-;1;1;-;1;1;1;16
"353630 PATROCINIO PAULISTA";-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;1;2;-;-;-;-;-;-;6
"353640 PAULICEIA";-;-;1;-;-;1;-;-;2;2;2;1;2;1;1;4;-;-;2;2;-;4;3;4;32
"353650 PAULINIA";21;22;23;15;23;16;18;20;14;17;15;21;25;23;21;30;25;45;32;35;43;52;47;41;644
"353657 PAULISTANIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"353660 PAULO DE FARIA";-;5;4;2;-;-;3;-;2;2;-;1;-;1;-;2;1;1;3;1;1;2;2;8;41
"353670 PEDERNEIRAS";9;10;8;3;4;7;11;4;3;2;1;4;7;2;7;7;6;3;8;11;10;10;8;14;159
"353680 PEDRA BELA";-;2;-;1;1;-;2;-;1;-;2;3;-;-;1;-;-;-;-;-;-;1;2;3;19
"353690 PEDRANOPOLIS";-;-;1;-;1;1;-;-;-;2;1;-;-;1;-;-;1;-;-;-;-;-;1;-;9
"353700 PEDREGULHO";-;-;-;-;-;1;-;-;-;-;3;-;2;1;2;-;-;-;-;-;1;2;2;-;14
"353710 PEDREIRA";18;13;9;5;12;6;9;6;5;3;9;9;-;6;12;5;10;9;9;5;11;12;13;7;203
"353715 PEDRINHAS PAULISTA";1;-;-;-;1;1;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"353720 PEDRO DE TOLEDO";2;6;8;7;1;-;6;7;3;-;1;5;2;4;7;6;8;3;9;2;6;9;10;8;120
"353730 PENAPOLIS";10;11;22;15;6;10;19;18;10;11;20;7;25;15;19;17;10;10;13;11;10;13;8;16;326
"353740 PEREIRA BARRETO";3;6;5;3;5;9;5;2;1;6;3;3;3;3;8;6;4;4;6;7;2;-;5;7;106
"353750 PEREIRAS";1;4;6;-;-;1;1;-;3;3;2;1;2;-;2;2;6;-;2;1;-;2;1;2;42
"353760 PERUIBE";56;68;60;52;54;49;48;59;63;60;52;67;50;59;55;86;104;79;84;84;96;115;114;72;1686
"353770 PIACATU";1;-;2;1;-;1;-;-;-;3;1;2;-;2;-;-;-;-;-;-;-;-;-;1;14
"353780 PIEDADE";16;21;10;12;9;14;6;10;11;8;5;11;4;15;5;8;13;9;9;15;6;9;8;7;241
"353790 PILAR DO SUL";5;2;7;3;1;2;7;3;3;4;5;3;3;8;4;13;6;5;4;1;3;2;14;11;119
"353800 PINDAMONHANGABA";44;41;37;42;44;35;18;27;36;30;28;26;32;41;28;33;40;40;45;36;45;47;71;44;910
"353810 PINDORAMA";-;-;2;-;1;2;1;-;1;3;2;-;3;2;2;1;2;1;3;2;-;1;2;1;32
"353820 PINHALZINHO";3;1;-;1;1;3;-;-;-;1;2;2;-;-;1;1;1;2;2;-;2;1;2;2;28
"353830 PIQUEROBI";2;-;-;1;-;-;-;-;-;1;-;-;1;1;-;-;2;1;-;-;-;-;-;1;10
"353850 PIQUETE";1;3;4;2;1;2;2;-;-;1;1;4;5;-;2;3;5;1;1;-;5;-;5;2;50
"353860 PIRACAIA";4;9;11;4;6;5;11;7;12;6;7;8;11;9;5;4;7;3;6;-;1;13;6;3;158
"353870 PIRACICABA";132;136;142;162;130;119;167;156;146;147;178;208;199;211;223;215;223;197;184;158;182;188;176;182;4161
"353880 PIRAJU";7;5;6;4;10;8;2;7;6;2;6;3;9;8;6;7;8;8;8;8;6;2;5;11;152
